Customer_ID,Age,Gender,City,Annual_Income,Website_Visits,Orders,Satisfaction_Score,Annual_Spending
1050,52,Male,Mansoura,108735.0,4,1,3.4,891.98
1051,31,Female,Alexandria,34371.0,8,5,5.0,1132.18
1052,34,Female,Cairo,,9,3,4.3,1448.31
1053,53,Male,Giza,20049.0,3,1,4.1,783.84
1054,57,Female,Alexandria,49616.0,6,3,2.7,1263.6
1055,21,Female,Giza,38932.0,5,2,4.4,954.81
1056,19,Male,Cairo,47855.0,2,1,3.3,962.75
1057,23,Female,Alexandria,79434.0,7,1,2.7,775.04
1058,59,Male,Alexandria,90694.0,5,1,4.1,1227.02
1059,21,Female,Mansoura,61016.0,5,2,2.6,659.46
1060,46,Female,Mansoura,25400.0,6,2,3.1,1242.67
1061,35,Male,Cairo,60642.0,5,2,3.7,848.96
1062,43,Male,Alexandria,33151.0,8,4,5.0,1002.77
1063,51,Female,Mansoura,69407.0,7,3,3.2,988.1
1064,27,Male,Cairo,84690.0,4,1,3.3,680.31
1065,53,Male,Alexandria,22499.0,5,2,4.3,731.36
1066,31,Female,Mansoura,24295.0,4,2,2.7,540.83
1067,48,Female,Cairo,77040.0,5,3,4.1,1263.79
1068,32,Female,Giza,30183.0,2,1,4.7,659.33
1069,25,Male,Giza,47299.0,11,3,3.5,1367.99
1070,31,Male,Mansoura,30874.0,6,2,4.5,1131.99
1071,40,Male,Cairo,50711.0,8,4,3.9,1184.39
1072,57,Male,Giza,23539.0,4,2,3.1,980.92
1073,38,Female,Mansoura,71351.0,1,0,3.5,665.38
1074,33,Male,Cairo,79267.0,5,3,3.4,1414.63
1075,35,Female,Mansoura,66354.0,10,5,3.6,1662.53
1076,41,Male,Mansoura,20557.0,10,2,3.8,810.08
1077,43,Female,Alexandria,56360.0,10,4,4.2,1109.61
1078,42,Female,Mansoura,100018.0,4,1,4.1,828.49
1079,58,Female,Alexandria,20200.0,6,2,1.8,633.17
1080,46,Male,Giza,86497.0,10,6,3.6,1862.27
1081,32,Female,Mansoura,64975.0,6,2,2.5,687.86
1082,18,Female,Alexandria,39357.0,8,3,3.5,990.54
1083,42,Male,Giza,95505.0,9,2,3.6,953.19
1084,24,Female,Mansoura,20869.0,5,2,4.5,649.25
1085,26,Male,Mansoura,79135.0,7,2,3.7,1036.19
1086,41,Male,Alexandria,68108.0,5,1,3.9,1034.95
1087,18,Female,Alexandria,112179.0,5,2,4.3,1064.95
1088,25,Female,Giza,108272.0,5,1,4.7,957.25
1089,41,Male,Mansoura,56467.0,6,3,3.6,1051.74
1090,28,Female,Giza,41328.0,7,1,3.8,632.58
1091,34,Male,,109412.0,5,1,3.7,1181.15
1092,25,Male,Cairo,104831.0,3,1,3.3,804.26
1093,52,Male,Alexandria,21987.0,5,2,3.1,1122.51
1094,52,Female,Cairo,76871.0,8,4,1.9,1200.86
1095,50,Male,Cairo,40399.0,7,3,2.8,992.67
1096,22,Female,Cairo,64214.0,8,3,2.3,781.58
1097,59,Female,Cairo,117522.0,5,3,4.7,1175.12
1098,56,Female,Cairo,104416.0,11,2,3.9,875.33
1099,58,Female,Giza,88271.0,7,2,3.6,1201.7
1100,45,Male,Cairo,62064.0,10,6,3.1,2025.24
1101,24,Female,Alexandria,88091.0,5,2,3.7,820.31
1102,26,Male,Giza,58818.0,9,3,3.0,566.34
1103,25,Male,Giza,63525.0,9,5,3.8,1687.46
1104,29,Female,Cairo,37830.0,8,4,3.9,1112.96
1105,51,Male,Giza,35429.0,5,1,3.0,491.29
1106,50,Male,Mansoura,24893.0,8,4,3.0,1274.87
1107,40,Female,Alexandria,97909.0,5,2,4.5,689.99
1108,41,Male,Alexandria,65333.0,6,2,3.7,800.22
1109,54,Male,Giza,21436.0,8,3,3.1,1222.9
1110,52,Male,Cairo,92290.0,3,1,3.4,714.38
1111,57,Male,Alexandria,94213.0,10,5,2.9,1117.39
1112,39,Female,Mansoura,23895.0,7,3,3.6,839.16
1113,44,Male,Giza,37738.0,7,4,4.4,1762.64
1114,52,Male,Giza,48746.0,3,1,3.7,582.88
1115,18,Male,Cairo,67377.0,1,0,5.0,894.44
1116,52,Male,Giza,66404.0,2,1,4.0,852.78
1117,54,Female,Cairo,72045.0,8,2,3.9,875.88
1118,31,Male,Cairo,115888.0,11,5,3.0,1513.86
1119,20,Female,Cairo,57790.0,6,3,,727.04
1120,18,Male,Cairo,23600.0,4,1,3.1,252.45
1121,22,Female,Alexandria,112660.0,5,2,2.0,753.0
1122,43,Female,Cairo,111179.0,9,2,4.5,1033.76
1123,31,Female,Cairo,58764.0,9,2,3.3,766.98
1124,56,Female,Giza,92543.0,5,2,3.1,1206.37
1125,44,Female,Giza,63714.0,4,1,3.9,758.47
1126,26,Male,Giza,74835.0,2,1,4.1,1100.61
1127,32,Male,Giza,91744.0,2,1,3.4,797.94
1128,32,Male,Alexandria,74491.0,5,2,3.7,1112.03
1129,43,Female,Cairo,36589.0,4,2,4.3,1017.39
1130,59,Male,Mansoura,61484.0,8,2,3.4,877.26
1131,30,Female,Alexandria,100989.0,3,2,3.9,1350.2
1132,49,Female,Cairo,54212.0,11,5,2.4,1115.9
1133,56,Male,Alexandria,61525.0,6,3,2.7,1246.53
1134,49,Male,Cairo,65202.0,6,1,4.2,940.89
1135,21,Female,Cairo,50635.0,6,2,2.7,1024.05
1136,47,Female,Mansoura,81208.0,7,3,3.9,1102.17
1137,54,Male,Alexandria,51828.0,7,4,3.6,1184.8
1138,40,Male,Alexandria,36711.0,6,1,3.4,395.95
1139,56,Male,Alexandria,21420.0,2,1,3.0,703.24
1140,32,Male,Cairo,114752.0,5,3,4.4,1321.84
1141,60,Female,Cairo,18301.0,9,3,5.0,1128.71
1142,46,Male,Giza,63236.0,7,2,3.9,860.48
1143,53,Male,Alexandria,84235.0,5,1,4.0,959.08
1144,30,Male,Cairo,72240.0,6,4,3.2,1636.66
1145,49,Female,Giza,83726.0,4,1,2.7,768.97
1146,24,Female,Cairo,28492.0,5,3,3.7,877.43
1147,39,Female,Mansoura,119279.0,5,3,2.9,1243.57
1148,45,Female,Cairo,24102.0,4,1,2.3,479.98
1149,19,Male,Alexandria,68336.0,7,3,4.3,803.4
1150,59,Female,Alexandria,103314.0,7,1,4.4,770.99
1151,23,Male,Cairo,44641.0,8,2,3.0,795.05
1152,45,Male,Giza,52584.0,5,3,3.9,1322.3
1153,45,Male,Mansoura,50745.0,1,1,4.5,1005.28
1154,37,Male,Cairo,41093.0,5,2,3.9,1084.95
1155,47,Female,Cairo,84105.0,7,3,2.7,978.42
1156,28,Female,Cairo,118199.0,9,2,3.5,1256.64
1157,45,Female,Cairo,69885.0,7,1,4.8,618.64
1158,42,Male,Alexandria,54631.0,5,1,3.9,689.57
1159,56,Male,Giza,90991.0,3,1,4.1,901.93
1160,50,Male,Mansoura,22014.0,4,1,4.0,413.5
1161,18,Male,Cairo,29093.0,5,2,3.0,861.7
1162,44,Male,Cairo,36070.0,6,2,3.2,1035.24
1163,30,Female,Cairo,53777.0,7,2,4.0,976.26
1164,58,Male,Mansoura,74958.0,11,4,4.4,1663.41
1165,20,Female,Giza,100074.0,3,2,4.6,617.66
1166,56,Male,Cairo,28729.0,6,2,3.0,1142.13
1167,23,Male,Alexandria,117713.0,6,4,4.0,1509.8
1168,25,Female,Giza,63017.0,5,3,4.6,1044.19
1169,44,Female,Mansoura,84320.0,8,2,2.9,920.87
1170,26,Male,Giza,45751.0,12,7,4.9,1336.54
1171,54,Male,Alexandria,96069.0,7,3,5.0,1592.53
1172,50,Male,Alexandria,72748.0,6,3,5.0,1156.75
1173,59,Male,Mansoura,23801.0,2,1,3.9,546.96
1174,41,Female,Mansoura,37190.0,5,2,3.9,738.19
1175,32,Male,Cairo,67689.0,5,2,4.4,1216.13
1176,49,Female,Cairo,68993.0,9,4,4.3,1467.08
1177,49,Male,Cairo,47592.0,4,2,4.6,576.17
1178,41,Female,Alexandria,28647.0,9,4,4.3,1254.63
1179,58,Female,Cairo,26716.0,8,3,3.6,918.0
1180,29,Male,Giza,106891.0,4,2,4.7,878.73
1181,56,Female,Alexandria,105545.0,6,1,2.8,1054.53
1182,19,Male,Mansoura,107912.0,4,1,3.7,1024.8
1183,20,Female,Cairo,88316.0,7,4,5.0,1766.96
1184,54,Male,Giza,20368.0,5,2,2.7,732.0
1185,34,Female,Giza,95575.0,7,1,3.2,1010.46
1186,19,Male,Alexandria,24655.0,8,2,4.2,1467.1
1187,19,Male,Cairo,88031.0,4,1,4.0,913.64
1188,45,Female,Mansoura,94429.0,4,3,3.0,1190.3
1189,40,Female,Cairo,109083.0,6,3,3.4,1223.84
1190,54,Female,Cairo,105922.0,2,1,2.8,837.37
1191,49,Female,Giza,73766.0,7,3,4.5,904.84
1192,50,Male,Alexandria,31403.0,5,2,3.5,815.56
1193,18,Female,Alexandria,50097.0,4,1,5.0,963.49
1194,36,Male,Giza,96657.0,6,3,3.8,1690.55
1195,19,Female,Alexandria,28966.0,8,2,3.5,1060.08
1196,43,Male,Mansoura,117157.0,8,5,3.4,1426.94
1197,49,Male,Cairo,111848.0,6,3,3.5,1627.58
1198,23,Male,Giza,70921.0,10,3,3.8,1355.72
1199,49,Male,Cairo,67726.0,8,5,5.0,1312.63
1200,21,Female,Giza,68300.0,3,2,3.4,1090.75
